
[+] Resolving hosts from [ host.txt ]
+-----------------------------------------------------------------------------+-----------------+-------+
| Hostname                                                                    | IP              | RType |
| 111-evelynn.68.97.132.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-events.68.97.133.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-events.68.97.137.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-f.68.97.130.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-f.68.97.132.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-feb.68.97.132.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-firewall.68.97.130.ist.edu.pk                                           | 111.68.97.150   |   A   |
| 111-forms.68.97.143.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-frontpage.68.97.129.ist.edu.pk                                          | 111.68.97.150   |   A   |
| 111-frontpage.68.97.134.ist.edu.pk                                          | 111.68.97.150   |   A   |
| 111-fw.68.97.128.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-germany.68.97.128.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-germany.68.97.132.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-gh.68.97.130.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-ghcpi.68.97.136.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-ghcpi.68.97.141.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-hw.68.97.131.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-imap.68.97.133.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-internal.68.97.132.ist.edu.pk                                           | 111.68.97.150   |   A   |
| 111-internal.68.97.145.ist.edu.pk                                           | 111.68.97.150   |   A   |
| 111-j.68.97.138.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-july.68.97.139.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-june.68.97.132.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-kor.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-kor.68.97.138.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-korea.68.97.130.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-lan.68.97.128.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-lan.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-lan.68.97.145.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-las.68.97.136.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-las.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-las.68.97.138.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-lb.68.97.139.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-mail.68.97.130.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-march.68.97.132.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-net.68.97.128.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-net.68.97.139.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-new.68.97.132.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-new.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-nginx.68.97.130.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-northamerica.68.97.137.ist.edu.pk                                       | 111.68.97.150   |   A   |
| 111-nov.68.97.137.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-oct.68.97.138.ist.edu.pk                                                | 111.68.97.150   | error |
| 111-old.68.97.132.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-org.68.97.129.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-page.68.97.134.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-page.68.97.135.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-pass.68.97.137.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-pay.68.97.133.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-pl.68.97.145.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-poland.68.97.134.ist.edu.pk                                             | 111.68.97.150   |   A   |
| 111-prd.68.97.134.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-preferences.68.97.138.ist.edu.pk                                        | 111.68.97.150   |   A   |
| 111-private.68.97.135.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-private.68.97.138.ist.edu.pk                                            | 111.68.97.150   |   A   |
| 111-prod.68.97.134.ist.edu.pk                                               | 111.68.97.150   |   A   |
| 111-production.68.97.138.ist.edu.pk                                         | 111.68.97.150   |   A   |
| 111-production.68.97.139.ist.edu.pk                                         | 111.68.97.150   |   A   |
| 111-profiles.68.97.129.ist.edu.pk                                           | 111.68.97.150   |   A   |
| 111-profiles.68.97.132.ist.edu.pk                                           | 111.68.97.150   |   A   |
| 111-promo.68.97.134.ist.edu.pk                                              | 111.68.97.150   |   A   |
| 111-pub.68.97.145.ist.edu.pk                                                | 111.68.97.150   |   A   |
| 111-q.68.97.130.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-q.68.97.134.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-qa.68.97.145.ist.edu.pk                                                 | 111.68.97.150   |   A   |
| 111-r.68.97.128.ist.edu.pk                                                  | 111.68.97.150   |   A   |
| 111-restrict.68.97.143.ist.edu.pk                                           | 111.68.97.150   |   A   |
